organism	gene	modification	new_id	old_id	random_id	protein_length_new	protein_length_old	CDS_counts_new	CDS_counts_old	CDS_change	source_new	source_old	chain_count_new	chain_count_old	fraction_disordered_new	fraction_disordered_old	has_clash_new	has_clash_old	pae_mean_new	pae_mean_old	ptm_new	ptm_old	ranking_score_new	ranking_score_old	residue_plddt_50_new	residue_plddt_50_old	residue_plddt_60_new	residue_plddt_60_old	residue_plddt_70_new	residue_plddt_70_old	residue_plddt_80_new	residue_plddt_80_old	residue_plddt_90_new	residue_plddt_90_old	residue_plddt_count_fp_new	residue_plddt_count_fp_old	residue_plddt_count_tp_new	residue_plddt_count_tp_old	residue_plddt_max_new	residue_plddt_max_old	residue_plddt_mean_new	residue_plddt_mean_old	residue_plddt_median_new	residue_plddt_median_old	residue_plddt_min_new	residue_plddt_min_old	total_residue_plddt_over_80_new	total_residue_plddt_over_80_old	Foldseek_transformed_evalue_new	Foldseek_transformed_evalue_old	alnlen_new	alnlen_old	alntmscore_new	alntmscore_old	bits_new	bits_old	evalue_new	evalue_old	fident_new	fident_old	gapopen_new	gapopen_old	lddt_new	lddt_old	mismatch_new	mismatch_old	qend_new	qend_old	qstart_new	qstart_old	query_length_new	query_length_old	query_new	query_old	target_new	target_old	taxid_new	taxid_old	taxlineage_new	taxlineage_old	taxname_new	taxname_old	tend_new	tend_old	tstart_new	tstart_old	diff_alnlen	diff_alntmscore	diff_bits	diff_CDS_counts	diff_evalue	diff_fident	diff_fraction_disordered	diff_lddt	diff_pae_max	diff_pae_mean	diff_ph-LDDT	diff_protein_length	diff_ptm	diff_residue_plddt_50	diff_residue_plddt_60	diff_residue_plddt_70	diff_residue_plddt_80	diff_residue_plddt_90	diff_residue_plddt_mean	diff_residue_plddt_median	diff_total_residue_plddt_over_80	diff_PSAURON_in_frame_score	diff_mean_out_of_frame_score	ph-LDDT_new	ph-LDDT_old	precision_new	precision_old	query_tp_count_new	query_tp_count_old	sensitivity_new	sensitivity_old	PSAURON_in_frame_score_new	PSAURON_in_frame_score_old	mean_out_of_frame_score_new	mean_out_of_frame_score_old	alignment_score	alignment_length	percent_alignment_score	IPR_max_new	IPR_total_new	IPR_evalue_min_new	IPR_max_old	IPR_total_old	IPR_evalue_min_old	IPR_transformed_evalue_min_new	IPR_transformed_evalue_min_old	diff_IPR_min_evalue	diff_IPR_transformed_min_evalue	above_90_old	above_80_old	above_70_old	above_60_old	above_50_old	above_90_new	above_80_new	above_70_new	above_60_new	above_50_new	diff_above_90	diff_above_80	diff_above_70	diff_above_60	diff_above_50
Aspergillus fumigatus str. Af293	AFU5G00870_T	changed	AFU5G00870	AFU5G00870	0004E60F_DD93_468A_A375_333FD2ED68E1	132	116	2	3	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.02	0.5	0	0	3.93637511478421	13.201137039239	0.88	0.59	0.89	0.84	6	7	2	7	7	12	18	27	97	18	0	0	124	64	98.736	96.12	90.0864103699331	62.896051609071	94.9375	69.4926388888889	42.54875	25.8458333333333	115	45	150.073139608379	30.341870469634	124.0	71.0	0.9165	0.8177	550.0	142.0	9.833e-16	0.0009243	0.419	0.295	3.0	3.0	0.853	0.6944	67.0	45.0	123.0	70.0	3.0	3.0	120.0	67.0	0004e60f-dd93-468a-a375-333fd2ed68e1_model	afu5g00870-t-p1_model	4z04-assembly1.cif.gz_A-2	4z04-assembly1.cif.gz_A-2	359391.0	359391.0	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Hyphomicrobiales;f_Brucellaceae;-_Brucella/Ochrobactrum group;g_Brucella;s_Brucella abortus;-_Brucella abortus 2308	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Alphaproteobacteria;o_Hyphomicrobiales;f_Brucellaceae;-_Brucella/Ochrobactrum group;g_Brucella;s_Brucella abortus;-_Brucella abortus 2308	Brucella abortus 2308	Brucella abortus 2308	122.0	69.0	1.0	1.0	53.0	0.0988	408.0	-1	-0.000924299999999	0.124	-0.48	0.15859999999999996		-9.2647619244548	0.265369254416711	16.0	0.29	-1	-5	-5	-9	79	27.1903587608621	25.4448611111111	70	0.22891	-0.22344	0.96482280632928	0.699453551912568	0.939393939393939	0.551724137931035	119.0	64.0	0.991666666666667	0.955223880597015	0.98992	0.76101	0.01748	0.24092	70	171	40.94	123.0	478.0	7.1e-34	80.0	80.0	2.1e-09	331.487416512809	86.7778070526608	-2.1e-09	244.709609460148	18	45	57	64	71	97	115	122	124	130	79	70	65	60	59
Aspergillus fumigatus str. Af293	AFU6G09353_T	changed	AFU6G09353	AFU6G09353	0066554C_3381_414A_89F6_9CC61CBE8783	248	63	2	2	same	Afum-Af293_new	Afum-Af293_old	1	1	0.0	1.0	0	0	11.7619000390219	20.5895187704712	0.56	0.17	0.56	0.67	8	47	13	6	26	0	120	0	80	0	0	0	239	6	95.245	68.454	84.5257628953708	54.9878291303053	87.4202777777778	55.3357142857143	44.5975	42.8008333333333	200	0	59.6859153574838	-8.93817223967463	224.0	0.0	0.1702	0.263	89.0	19.0	1.075e-06	7.831	0.165	0.137	11.0	1.0	0.4368	0.6567	144.0	43.0	222.0	61.0	15.0	11.0	207.0	50.0	0066554c-3381-414a-89f6-9cc61cbe8783_model	afu6g09353-t-p1_model	8ssr-assembly2.cif.gz_D	7ane-assembly1.cif.gz_Ao	9606.0	5664.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	-_cellular organisms;d_Eukaryota;-_Discoba;p_Euglenozoa;c_Kinetoplastea;-_Metakinetoplastina;o_Trypanosomatida;f_Trypanosomatidae;-_Leishmaniinae;g_Leishmania;-_Leishmania;-_Leishmania major species complex;s_Leishmania major	Homo sapiens	Leishmania major	228.0	269.0	32.0	212.0	224.0	-0.09280000000000002	70.0	0	-7.830998925	0.027999999999999997	-1.0	-0.21989999999999993		-8.8276187314493	0.962529724260056	185.0	0.39	-39	7	26	120	80	29.5379337650654	32.0845634920635	200	0.22148	-0.24438	0.962529724260056	0.0	0.963709677419355	0.0952380952380952	199.0	3.0	0.961352657004831	0.06	0.90572	0.68424	0.06378	0.30816	15	287	5.23	28.0	221.0	10.0			10.0	-10.0	-10.0	0.0	0.0	0	0	0	6	53	80	200	226	239	247	80	200	226	233	194
Aspergillus fumigatus str. Af293	AFU8G06170_T	changed	AFU8G06170	AFU8G06170	00795E4B_1AA1_416D_A465_416076C03356	202	270	2	2	same	Afum-Af293_new	Afum-Af293_old	1	1	0.09	0.3	0	0	12.1148490344084	17.9231742112483	0.65	0.54	0.69	0.69	17	33	12	13	23	23	63	61	80	90	0	5	178	187	97.745	97.95	82.7083106560656	74.2873771431244	87.9195634920635	83.8671428571429	42.3309090909091	18.16	143	151	2.93282217663241	1.25808195320929	0.0	0.0	0.1637	0.1528	26.0	23.0	0.509	0.7485	0.15	0.146	15.0	15.0	0.307	0.3054	132.0	133.0	197.0	265.0	17.0	85.0	180.0	180.0	00795e4b-1aa1-416d-a465-416076c03356_model	afu8g06170-t-p1_model	8dh0-assembly1.cif.gz_B	8dh0-assembly1.cif.gz_B	10760.0	10760.0	d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Autographiviridae;-_Studiervirinae;g_Teseptimavirus;s_Teseptimavirus T7;-_Escherichia phage T7	d_Viruses;-_Duplodnaviria;k_Heunggongvirae;p_Uroviricota;c_Caudoviricetes;f_Autographiviridae;-_Studiervirinae;g_Teseptimavirus;s_Teseptimavirus T7;-_Escherichia phage T7	Escherichia phage T7	Escherichia phage T7	253.0	253.0	51.0	51.0	0.0	0.01090000000000002	3.0	0	-0.2395	0.0040000000000000036	-0.21	0.0015999999999999903		-5.80832517683989	0.0	-68.0	0.11	-16	-1	0	2	-10	8.42093351294125	4.05242063492064	-8	0.0163699999999999	-0.05656	0.0	0.0	0.881188118811881	0.692592592592593	167.0	172.0	0.927777777777778	0.955555555555556	0.99926	0.98289	0.10847	0.16503	201	270	74.44			10.0			10.0	-10.0	-10.0	0.0	0.0	90	151	174	187	220	80	143	166	178	195	-10	-8	-8	-9	-25
Fusarium graminearum str. PH-1	FGRAMPH1_01G15469	changed	FGRAMPH1_01G15469	FGRAMPH1_01G15469	00B49E09_ED27_40AC_92CE_979C61072B57	785	573	4	3	increase	F_gram_PH-1_new	F_gram_PH-1_old	1	1	0.22	0.09	0	0	22.5368918820236	17.0035303003999	0.5	0.62	0.61	0.66	33	32	65	42	107	96	134	144	114	158	54	1	420	440	96.9657142857143	98.184	60.0583040206432	74.6548805746319	65.5342857142857	80.9	14.7954545454545	23.12875	248	302			303.0	303.0	0.7738	0.7667	477.0	465.0	6.432e-15	1.182e-14	0.237	0.234	16.0	18.0	0.5665	0.5688	175.0	176.0	759.0	547.0	464.0	252.0	295.0	295.0	fgramph1_01t15469_model	fgramph1_01t15469-p1_model	1suc-assembly1.cif.gz_A	1suc-assembly1.cif.gz_A	1390.0	1390.0	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;-_Bacillus subtilis group;-_Bacillus amyloliquefaciens group;s_Bacillus amyloliquefaciens	-_cellular organisms;d_Bacteria;-_Terrabacteria group;p_Bacillota;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;-_Bacillus subtilis group;-_Bacillus amyloliquefaciens group;s_Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	256.0	256.0	3.0	3.0	0.0	0.007099999999999995	12.0	1	-5.388e-15	0.002999999999999975	0.13	-0.0022999999999999687		5.53336158162371	-0.157853884792327	212.0	-0.12	1	23	11	-10	-44	-14.5965765539887	-15.3657142857143	-54	-0.0072899999999999	0.03641	0.671575846833579	0.829429731625906	0.535031847133758	0.767888307155323	266.0	266.0	0.901694915254237	0.901694915254237	0.98401	0.9913	0.12541	0.089	572	785	72.87	363.0	1432.0	2.2e-45	309.0	1287.0	1.1e-45	446.575773191778	449.586073148418	1.1e-45	-3.01029995663981	158	302	398	440	472	114	248	355	420	453	-44	-54	-43	-20	-19
Aspergillus fumigatus str. Af293	AFU5G13570_T	changed	AFU5G13570	AFU5G13570	00C56A79_D45A_44B8_933F_F1BF0FCD3CC1	397	292	2	4	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.2	0.12	0	0	10.042780551872	7.52370519797335	0.8	0.83	0.9	0.89	13	9	23	14	36	52	118	122	154	71	16	0	331	259	96.948	96.19	78.3273843808724	80.0443728280852	87.4691666666667	84.1164772727273	17.3863636363636	32.7433333333333	272	193	108.810742471742	91.8336105510154	299.0	247.0	0.8519	0.7927	554.0	456.0	1.315e-11	6.556e-10	0.22	0.242	8.0	5.0	0.7031	0.7489	188.0	159.0	352.0	247.0	64.0	2.0	288.0	245.0	00c56a79-d45a-44b8-933f-f1bf0fcd3cc1_model	afu5g13570-t-p1_model	5x87-assembly1.cif.gz_D	5x87-assembly1.cif.gz_D	573.0	573.0	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;-_Klebsiella/Raoultella group;g_Klebsiella;s_Klebsiella pneumoniae	-_cellular organisms;d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;-_Klebsiella/Raoultella group;g_Klebsiella;s_Klebsiella pneumoniae	Klebsiella pneumoniae	Klebsiella pneumoniae	266.0	266.0	3.0	47.0	52.0	0.05920000000000003	98.0	-2	-6.4245e-10	-0.021999999999999992	0.08	-0.04580000000000006		2.51907535389868	-0.0227693441814746	105.0	-0.0299999999999999	4	9	-16	-4	83	-1.71698844721274	3.3526893939394	79	-0.00429	-0.02458	0.893213247149252	0.915982591330727	0.83375314861461	0.886986301369863	277.0	232.0	0.961805555555556	0.946938775510204	0.99393	0.99822	0.07192	0.0965	291	397	73.3	316.0	617.0	4.3e-65	256.0	493.0	4.7e-58	643.665315444204	573.279021420643	-4.69999957e-58	70.3862940235613	71	193	245	259	268	154	272	308	331	344	83	79	63	72	76
Aspergillus fumigatus str. Af293	AFU3G13620_T	changed	AFU3G13620	AFU3G13620	00D2430C_B11A_47D9_AB94_4E9B6D1DA578	130	190	2	2	same	Afum-Af293_new	Afum-Af293_old	1	1	0.0	0.34	0	0	2.1120650887574	15.3043933518006	0.9	0.66	0.9	0.83	0	4	0	0	2	3	10	11	118	116	0	19	130	130	98.79	98.544	94.828653940504	73.7217074029771	96.070119047619	93.4847222222222	78.4558333333333	15.73	128	127	64.1038545936873	65.3850147321698	136.0	147.0	0.5755	0.5251	219.0	200.0	3.887e-07	2.894e-07	0.213	0.217	9.0	9.0	0.5598	0.5287	80.0	87.0	120.0	184.0	4.0	56.0	116.0	128.0	00d2430c-b11a-47d9-ab94-4e9b6d1da578_model	afu3g13620-t-p1_model	2et1-assembly1.cif.gz_A	2et1-assembly1.cif.gz_A	4513.0	4513.0	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_Liliopsida;-_Petrosaviidae;-_commelinids;o_Poales;f_Poaceae;-_BOP clade;-_Pooideae;-_Triticodae;-_Triticeae;-_Hordeinae;g_Hordeum;s_Hordeum vulgare	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_Liliopsida;-_Petrosaviidae;-_commelinids;o_Poales;f_Poaceae;-_BOP clade;-_Pooideae;-_Triticodae;-_Triticeae;-_Hordeinae;g_Hordeum;s_Hordeum vulgare	Hordeum vulgare	Hordeum vulgare	171.0	175.0	44.0	39.0	-11.0	0.0504	19.0	0	9.93e-08	-0.0040000000000000036	-0.34	0.031100000000000017		-13.1923282630432	0.198009950248756	-60.0	0.24	-4	0	-1	-1	2	21.1069465375268	2.58539682539683	1	0.0157499999999999	-0.0336599999999999	1.0	0.801990049751244	1.0	0.68421052631579	116.0	124.0	1.0	0.96875	0.98818	0.97243	0.00293	0.03659	129	190	67.89	113.0	277.0	4.9e-18	112.0	275.0	1.34e-17	173.098039199715	168.728952016352	-8.5e-18	4.36908718336295	116	127	130	130	134	118	128	130	130	130	2	1	0	0	-4
Fusarium graminearum str. PH-1	FGRAMPH1_01G03439	changed	FGRAMPH1_01G03439	FGRAMPH1_01G03439	01661C4A_895E_4E1D_B746_5AA86F7C6285	363	211	4	2	increase	F_gram_PH-1_new	F_gram_PH-1_old	1	1	0.46	0.08	0	0	21.6479361610091	6.72308124255969	0.54	0.84	0.77	0.87	6	7	11	14	22	26	57	62	101	90	118	0	191	192	98.386	97.7	57.9247596448547	82.731995547896	69.2455555555556	87.6666666666667	14.4516666666667	32.2928571428571	158	152			304.0	304.0	0.416	0.5803	165.0	193.0	1.241e-07	2.068e-07	0.144	0.148	14.0	15.0	0.5058	0.5234	133.0	132.0	361.0	209.0	183.0	31.0	178.0	178.0	fgramph1_01t03439_model	fgramph1_01t03439-p1_model	3n71-assembly1.cif.gz_A	3n71-assembly1.cif.gz_A	10090.0	10090.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Mus;-_Mus;s_Mus musculus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Mus;-_Mus;s_Mus musculus	Mus musculus	Mus musculus	308.0	308.0	7.0	7.0	0.0	-0.16430000000000006	-28.0	2	-8.27e-08	-0.0040000000000000036	0.38	-0.01759999999999995		14.9248549184494	-0.259802910848528	152.0	-0.3	-1	-3	-4	-5	11	-24.8072359030413	-18.4211111111111	6	0.00156	0.00378	0.682727770488755	0.942530681337283	0.526170798898072	0.909952606635071	173.0	174.0	0.971910112359551	0.97752808988764	0.99836	0.9968	0.07528	0.0715	210	363	57.85	300.0	1062.0	1.3e-19	169.0	925.0	1.09e-19	188.860566476932	189.625735020594	2.1e-20	-0.765168543662128	90	152	178	192	199	101	158	180	191	197	11	6	2	-1	-2
Aspergillus fumigatus str. Af293	AFU4G07550_T	changed	AFU4G07550	AFU4G07550	020D30A8_5C24_4D28_BFB6_B644E0AC93FE	534	541	2	1	increase	Afum-Af293_new	Afum-Af293_old	1	1	0.93	0.94	0	0	28.298768744126	28.2897048322235	0.26	0.26	0.73	0.74	134	97	82	85	70	76	54	55	8	10	0	7	214	226	93.962	94.106	57.9254916257276	55.539312560514	54.7598295454546	54.4471428571429	29.56125	16.4227272727273	62	65	5.11872503752542	6.763354643919	0.0	0.0	0.5912	0.4978	56.0	53.0	0.3077	0.2107	0.5	0.418	1.0	1.0	0.4725	0.4409	17.0	29.0	282.0	300.0	245.0	246.0	37.0	54.0	afu4g07550-t_model	afu4g07550-t-p1_model	7dcr-assembly1.cif.gz_y	7dcp-assembly1.cif.gz_y	4932.0	4932.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae	Saccharomyces cerevisiae	Saccharomyces cerevisiae	51.0	62.0	10.0	11.0	0.0	0.09339999999999993	3.0	1	0.0969999999999999	0.08200000000000002	-0.0099999999999998	0.03159999999999996		0.0090639119025439	0.0	-7.0	0.0	37	-3	-6	-1	-2	2.38617906521354	0.312686688311693	-3	0.0049	-0.09608	0.0	0.0	0.400749063670412	0.417744916820702	36.0	39.0	0.972972972972973	0.722222222222222	0.99897	0.99407	0.08732	0.1834	401	655	61.22	437.0	530.0	2.2e-48	523.0	616.0	1.5e-46	476.575773191778	458.239087409443	-1.478e-46	18.3366857823348	10	65	141	226	323	8	62	132	214	348	-2	-3	-9	-12	25
Aspergillus fumigatus str. Af293	AFU3G02560_T	changed	AFU3G02560	AFU3G02560	0239FED6_F74C_4BD8_A53B_566D80DB22B8	118	141	2	4	decrease	Afum-Af293_new	Afum-Af293_old	1	1	0.41	0.95	0	0	21.3445992530882	25.9024043056184	0.24	0.16	0.45	0.64	14	53	0	3	0	0	0	0	0	0	2	0	0	3	58.43	62.8157142857143	40.3975621132634	48.2426175406548	39.993253968254	48.542	20.5427272727273	31.8114285714286	0	0	2.67043630424375		0.0		0.3357		34.0		0.5407		0.146		4.0		0.416		55.0		73.0		3.0		70.0		afu3g02560-t_model		7old-assembly1.cif.gz_C		759272.0		-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Pezizomycotina;-_leotiomyceta;-_sordariomyceta;c_Sordariomycetes;-_Sordariomycetidae;o_Sordariales;f_Chaetomiaceae;g_Thermochaetoides;s_Thermochaetoides thermophila;-_Thermochaetoides thermophila DSM 1495		Thermochaetoides thermophila DSM 1495		176.0		99.0					-2			-0.54			-4.55780505253023		-23.0	0.0799999999999999	-39	-3	0	0	0	-7.8450554273914	-8.54874603174604	0	-0.00378	-0.0563799999999999	0.0		0.0	0.0212765957446808	0.0		0.0		0.99608	0.99986	0.04855	0.10493	46	199	23.12			10.0			10.0	-10.0	-10.0	0.0	0.0	0	0	0	3	56	0	0	0	0	14	0	0	0	-3	-42
Fusarium graminearum str. PH-1	FGRAMPH1_01G24415	changed	FGRAMPH1_01G24415	FGRAMPH1_01G24415	032FCDAE_69AA_44B7_B6D9_2645EE84F329	269	346	5	8	decrease	F_gram_PH-1_new	F_gram_PH-1_old	1	1	0.11	0.32	0	0	6.84235430687802	15.0041615155869	0.87	0.71	0.92	0.86	4	4	6	4	12	8	58	66	169	168	0	28	245	246	98.5825	98.15	87.1192632726629	74.0931958301012	92.9533333333333	89.4268181818182	31.381	18.2790909090909	227	234			240.0	240.0	0.9472	0.948	1371.0	1373.0	7.203e-37	7.586e-37	0.683	0.687	3.0	4.0	0.8755	0.874	69.0	68.0	240.0	317.0	4.0	81.0	236.0	236.0	032fcdae-69aa-44b7-b6d9-2645ee84f329_model	fgramph1_01t24415-p1_model	7ls5-assembly1.cif.gz_D	7ls5-assembly1.cif.gz_D	559292.0	559292.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C	Saccharomyces cerevisiae S288C	Saccharomyces cerevisiae S288C	236.0	236.0	1.0	1.0	0.0	-0.0007999999999999119	-2.0	-3	-3.83e-38	-0.0040000000000000036	-0.21	0.0014999999999999458		-8.16180720870887	0.120296619584016	-77.0	0.16	0	2	4	-8	1	13.0260674425617	3.52651515151514	-7	0.00178	-0.0153799999999999	0.951377700665097	0.831081081081081	0.910780669144982	0.710982658959538	235.0	236.0	0.995762711864407	1.0	0.99888	0.9971	0.18593	0.20131	268	346	77.46	238.0	1165.0	1e-86	238.0	1166.0	2.3e-86	860.0	856.382721639824	-1.3e-86	3.61727836017599	168	234	242	246	250	169	227	239	245	249	1	-7	-3	-1	-1
